SMILES;type
Cc1ccc(N=C(O)Nc2cc(C(F)(F)F)ccc2F)cc1Nc1ccc2c(c1)N=C(O)/C2=C\c1ccc[nH]1;SPE
COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1;SPE
C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)OC)=C4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC;SPE
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12;EOS
C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2;SPE
C/C=C/C[C@@H](C)C(=O)[C@H]1C(O)=N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;SPE
Cc1ccc(Oc2nc3cc(-c4ccc(-c5ccccc5)cc4)c(Cl)cc3[nH]2)cc1C(=O)O;EOS
CC(C)C[C@H](N=C(O)CN=C(O)c1cc(Cl)ccc1Cl)B(O)O;SPE
CC(C)C[C@H](N=C(O)CN=C(O)c1cc(Cl)ccc1Cl)B1OC(=O)CC(CC(=O)O)(C(=O)O)O1;SPE
COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1;EOS
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1;SPE
O=C(O)c1ccc(N2C(=O)/C(=C\c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1;EOS
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O;SPE
Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl;SPE
O=C1C(=Cc2cccnc2)C(=O)c2ccccc21;SPE
CCN(CC)CCCCN=c1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(O)=NC(C)(C)C)nc2[nH]1;SPE
COc1cc(/C=C2\SC(=O)N=C2O)ccc1Oc1ccc(C#N)cc1C(F)(F)F;EOS
O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1;EOS
CCc1c(-c2ccc3n[nH]cc3c2)c[nH]c(=N)c1-c1ccc(O)cc1;EOS
O/N=C1C(=C2/C(O)=Nc3cc(Br)ccc32)/Nc2ccccc2/1;EOS
CCn1c2cc(=N)ccc-2c2ccc([NH3+])cc2c1-c1ccccc1;EOS
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2;EOS
N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccccc2)CC1;EOS
Cc1ncc(N=C(O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1;EOS
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21;SPE
Cc1cc(C)c2c(c1)[C@@H](N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2C[C@H]1CC[C@H](C(=O)O)CC1;EOS
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O;SPE
CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O;EOS
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1;SPE
CCCCOCCOc1ccc(-c2ccc3c(c2)/C=C(/C(=O)Nc2ccc([S@@](=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1;EOS
O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1;SPE
C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(O)=Nc1ccc(Cl)cc12;EOS
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O;EOS
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65;SPE
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C;SPE
Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3;EOS
CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(-c3csc4ccccc34)nc21;SPE
CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2;SPE
Cc1cc(N2C[C@@H](C)N[C@@H](C)C2)ncc1-c1ccc(-c2nc(=O)c3ccn(C)c3[nH]2)cc1;EOS
CNC(=O)c1cc(Oc2ccc(NC(O)=Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1;EOS
CC(C)(C)c1cc(/C=C(\C#N)C(=N)S)cc(C(C)(C)C)c1O;SPE
CC(C)c1cccc2c(-c3ccccc3)cc(-c3ccc(-c4ccc(C(=O)O)cc4)[nH]3)nc12;SPE
COc1cc2c(=NC3CCN(C4CCCCC4)CC3)[nH]c(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1;SPE
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C;EOS
c1ccc(-c2ccc(CNc3nc(-c4ccccn4)nnc3-c3ccccc3)cc2)cc1;SPE
Nc1c(C(O)=NCc2ccco2)c2nc3ccccc3nc2n1CCN1CCCCC1;EOS
CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1;SPE
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1;EOS
Nc1ccc2cc3ccc(N)cc3nc2c1;DOM
N#Cc1cc2c(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)cccc2[nH]1;DOM
Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1;SPE
CNC(=O)c1cc(Oc2ccc(NC(O)=Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1;SPE
O=C(C1CC1)N1CC[C@@H](Cc2nnc(O)n2-c2ccc(-c3ccc4occc4c3)cc2)C1;SPE
N=c1nc(S)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1;EOS
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)N=C(O)C2)C(=O)[C@@H](C)C1;SPE
Clc1ccccc1CNC[C@H]1CC[C@H](CNCc2ccccc2Cl)CC1;SPE
CN=C(O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1;SPE
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O;SPE
CCS(=O)(=O)c1ccc(CC(O)=Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1;EOS
CC(O)=N[C@H](Cc1ccc2ccccc2c1)C(O)=N[C@H](Cc1ccc(Cl)cc1)C(O)=N[C@H](Cc1cccnc1)C(O)=N[C@@H](CO)C(O)=N[C@@H](Cc1ccc(NC(=O)[C@@H]2CC(O)=NC(O)=N2)cc1)C(O)=N[C@H](Cc1ccc(NC(=N)O)cc1)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(O)=N[C@H](C)C(=N)O;SPE
CCCCn1c(N=C(O)c2cccs2)c(C#N)c2nc3ccccc3nc21;EOS
C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(O)=N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;EOS
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O;EOS
CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1;SPE
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(OC(=O)CCC(=O)O)c(C(C)(C)C)c1;DOM
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1;EOS
O=C(C1CC1)N1CC[C@@H](Cc2nnc(O)n2-c2ccc(-c3ccc4occc4c3)cc2)C1;EOS
COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1;SPE
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1;SPE
CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1;SPE
CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2;SPE
COc1ccc(-c2c[nH]c3nccc(-c4ccsc4)c23)c(OC)c1;EOS
N=c1nc(S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1;SPE
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12;SPE
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4nc(C(F)(F)F)c[nH]4)c3)ccc21;EOS
Cc1c(O)cccc1C(O)=NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(O)=NC(C)(C)C;EOS
OCCNC1CCCc2c1[nH]c1ccc(-c3ccccc3)cc21;SPE
CCN(CC)CCOc1ccc(/C(=C(\Cl)c2ccccc2)c2ccccc2)cc1;SPE
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC;EOS
N#Cc1cccc(C#N)c1-c1nc2c3ccc(Cl)cc3c3ccccc3c2[nH]1;EOS
CC1(N2CCC(n3c([C@@H]4CCCNC4)nc4ccccc43)CC2)CCCCCCC1;SPE
CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12;SPE
N=C(Nc1ccc(I)cc1)NC1C2CC3CC(C2)CC1C3;SPE
