CBDREGNO,SMILES,InChI Key,Type
10624,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)c2cc3cc(OCCCNC(=O)C[C@@H]4N=C(c5ccc(Cl)cc5)c5c(sc(C)c5C)-n5c(C)nnc54)ccc3o2)C(C)(C)C)cc1,NNRNVOXKXQKOLG-CGDHKWSBSA-N,PROTAC
21560,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H]2CC[C@@H](c3cnc(N4C5CCC4CN(c4cc(-c6ccccc6O)nnc4N)C5)nc3)CC2)C(C)(C)C)cc1,SJPLQGPNFYKWGD-YYVBVRPTSA-N,Degrader
15049,CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncc(F)cc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCc3cc(F)c(C4CCC(=O)NC4=O)c(F)c3)CC2)CC1,ADEGTKQSBCVRHU-UHFFFAOYSA-N,PROTAC
2676,[2H]CN1CC2CC(C1)N2CC1CCN([2H])CC1,ZQIHXWGPIRXFGN-PFUFQJKNSA-N,Linker
15242,CCOc1cc(N2CCC(N3CCN(CC4CN(c5cc(F)c([C@H]6CCC(=O)NC6=O)c(F)c5)C4)CC3)CC2)c(CC)cc1Nc1ncc(Br)c(Nc2ccc3c(=O)n(CC)ncc3c2P(C)(C)=O)n1,UJIZRMREGUHVTB-PGUFJCEWSA-N,PROTAC
1392,[2H]OCCOCCOCCOCCCCC([2H])C(F)(F)F,QRROQEXKBKVWCL-OQPAGSFBSA-N,Linker
19933,O=C(NCCOCCOCCOc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1)c1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,JWJWUGQNFXLDKN-UHFFFAOYSA-N,PROTAC
7365,CC(C)(C)[C@H](NC(=O)COCCCOCCCCOc1ccc(N2C(=S)N(c3ccc(C#N)c(Cl)c3)C(=O)C2(C)C)cc1F)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2cnco2)cc1,OSPYJEMDPNQIIX-DRTKLYQKSA-N,PROTAC
1004,[2H]CCN1CCN(c2ccc(OCCCN3CCN([2H])CC3)cc2)CC1,MIYNKPGGHYRRHB-PFUFQJKNSA-N,Linker
12029,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OCCCCCC(=O)N3CCN(c4ccc(Nc5ncc6c(C)c(C(C)=O)c(=O)n(C7CCCC7)c6n5)nc4)CC3)c2)cs1)C1CCCCC1,XFZYOCUEKLZYCP-NWMLSJNZSA-N,PROTAC
